,raw_df,normalize,normalised_df,prepare,derive_corr,cell_id,correct_cols,prep_df,combn_pairs,compare_pair,perm_fn,valid_ab,mcnemar_bc,T_star,swap_draws,perm_T,perm_p,boot_fn,cell_rows,draw_cells,boot_delta,CI,pair_result,p_adjust,mrmc_result
raw_df,,input,,input,,,,,,,,,,,,,,,,,,,,,
normalize,,,produces,,,,,,,,,,,,,,,,,,,,,,
normalised_df,,,,normalised input,,,,,,,,,,,,,,,,,,,,,
prepare,,,,,calls x2\nper cond,interaction()\nwithin-vars,,,,,,,,,,,,,,,,,,,
derive_corr,,,,,,,produces,,,,,,,,,,,,,,,,,,
cell_id,,,,,,,,component,,,,,,,,,,,,,,,,,
correct_cols,,,,,,,,component,,,,,,,,,,,,,,,,,
prep_df,,,,,,,,,,via .run_core,,,,,,,,,,,,,,,
combn_pairs,,,,,,,,,,pair list,,,,,,,,,,,,,,,
compare_pair,,,,,,,,,,,calls,,,,,,,calls,,,,,,,
perm_fn,,,,,,,,,,,,filter NA,,,runif()\nn_perm x n_cell,,,,,,,,,,
valid_ab,,,,,,,,,,,,,input,,,permuted\na <-> b,,,,,,,,,
mcnemar_bc,,,,,,,,,,,,,,(b-c)^2/(b+c),,,,,,,,,,,
T_star,,,,,,,,,,,,,,,,,threshold,,,,,,T* b c n_disc,,
swap_draws,,,,,,,,,,,,,,,,drives loop,,,,,,,,,
perm_T,,,,,,,,,,,,,,,,,mean(>=T*),,,,,,,,
perm_p,,,,,,,,,,,,,,,,,,,,,,,perm_p,,
boot_fn,,,,,,,,,,,,,,,,,,,split(),sample.int()\nn_boot x n_cell,,,rate_a/b\ndelta,,
cell_rows,,,,,,,,,,,,,,,,,,,,,resampled,,,,
draw_cells,,,,,,,,,,,,,,,,,,,,,drives loop,,,,
boot_delta,,,,,,,,,,,,,,,,,,,,,,quantile(),,,
CI,,,,,,,,,,,,,,,,,,,,,,,ci_low\nci_high,,
pair_result,,,,,,,,,,,,,,,,,,,,,,,,perm_p values,rbind
p_adjust,,,,,,,,,,,,,,,,,,,,,,,,,holm_p
mrmc_result,,,,,,,,,,,,,,,,,,,,,,,,,
