"X","S","T","F","E","M","T.1","T.2","F.1","F.1.1","F.1.1.1","F.1.1.2","F.1.1.3","F.1.2","F.2","F.2.1","F.2.2","F.2.3","F.3","E.1","E.1.1","M.1","M.1.1","M.1.1.1","M.1.1.2","M.2","M.2.1","M.3"
"S","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T","","","form is derived from\nand serves the telos\n(SEP §5 — final's priority)","","","","","","","","","","","","","","","","","","","","","","","",""
"F","","","","schema affords agency;\nenactment turns potentiality\ninto actuality\n(PDR cycle, values in appraisal)","","","","","","","","","","","","","","","","","","","","","","",""
"E","","","","","agent mobilises resources;\ninscriptions circulate outward\nand enrol distant actors\n(Latour · immutable mobiles)","","","","","","","","","","","","","","","","","","","","","",""
"M","","alignment of substrate\nwith the mission secures\nfunding, rules, applicants","","","","","","","","","","","","","","","","","","","","","","","","",""
"T.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.1.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.1.1.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.1.1.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.1.1.3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.1.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.2.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.2.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.2.3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F.3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E.1.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M.1.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M.1.1.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M.1.1.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M.2.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M.3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
