id,label,shape,colour,fontcolour,stroke,x,y,width,height
S,the School,rectangle,black,white,#d4a017,,,,
T,Final,rounded,#fff3cd,#222222,#d4a017,,,,
F,Formal,rounded,#cfe2ff,#222222,#6ea8fe,,,,
E,Efficient,rounded,#d1e7dd,#222222,#75b798,,,,
M,Material,rounded,#e9ecef,#222222,#adb5bd,,,,
T.1,health,rectangle,white,gray,#d4a017,,,,
T.2,health equity,rectangle,white,gray,#d4a017,,,,
F.1,Values,rectangle,white,gray,#d4a017,,,,
F.1.1,Behavioural standards,rectangle,white,gray,#d4a017,,,,
F.1.1.1,Positive Descriptors,rectangle,white,gray,#d4a017,,,,
F.1.1.2,Managerial Accountabilities,rectangle,white,gray,#d4a017,,,,
F.1.1.3,Counterproductive Behaviours to be Actively Challenged,rectangle,white,gray,#d4a017,,,,
F.1.2,Recognition in Annual Assessment (PDR),rectangle,white,gray,#d4a017,,,,
F.2,Open Research Supporting ,rectangle,white,gray,#d4a017,,,,
F.2.1,DORA signatory,rectangle,white,gray,#d4a017,,,,
F.2.2,The Strategic Research Office,rectangle,white,gray,#d4a017,,,,
F.2.3,"Resource provision : \n 
Librarian's support, Open Research Services, Templates (eg., DMP), Data sharing repository",rectangle,white,gray,#d4a017,,,,
F.3,Portable skill development (The Researcher Development Concordat),rectangle,white,gray,#d4a017,,,,
E.1,Researchers' agency,rectangle,white,gray,#d4a017,,,,
E.1.1,Operational character (open and credible research),rectangle,white,gray,#d4a017,,,,
M.1,Grant funding according to the funder's vision,rectangle,white,gray,#d4a017,,,,
M.1.1,Funder's Strategic Vision,rectangle,white,gray,#d4a017,,,,
M.1.1.1,How to Build Trust (aiming impact of research on the Society),rectangle,white,gray,#d4a017,,,,
M.1.1.2,How to Assess Trust Built (aiming evaluate research based on the impact),rectangle,white,gray,#d4a017,,,,
M.2,Regulations,rectangle,white,gray,#d4a017,,,,
M.2.1,Regulator's Vision,rectangle,white,gray,#d4a017,,,,
M.3,Applicants for an academic position in the School,rectangle,white,gray,#d4a017,,,,
